"","State","Natural gas (Trillion Btu)","Distillate fuel - diesel (Trillion Btu)","Jet fuel (Trillion Btu)","Motor gasoline (Trillion Btu)","Residual fuel (Trillion Btu)","Other (Trillion Btu)","Total petroleum (Trillion Btu)","Ethanol (Trillion Btu)","Electricity (Trillion Btu)","Net energy (Trillion Btu)","Electrical system energy losses (Trillion Btu)","Total (Trillion Btu)","code","total","hover"
"1","Alabama",22.7,117.3,13.2,308.2,5,3,446.8,21.7,0,469.5,0,469.5,"AL",469.5,"Alabama <br> Natural Gas: 22.7 Petroleum:  446.8 <br> Ethanol:  21.7 Electricity 0 <br>"
"2","Alaska",0.9,32,107.3,31.3,0,1.2,171.9,1.7,0,172.8,0,172.8,"AK",172.8,"Alaska <br> Natural Gas: 0.9 Petroleum:  171.9 <br> Ethanol:  1.7 Electricity 0 <br>"
"3","Arizona",14.9,106.6,21,314,0,3.3,444.9,19.9,0,459.8,0,459.8,"AZ",459.8,"Arizona <br> Natural Gas: 14.9 Petroleum:  444.9 <br> Ethanol:  19.9 Electricity 0 <br>"
"4","Arkansas",11.8,91.2,6,164.5,0,2.8,264.5,11.6,0,276.3,0,276.3,"AR",276.3,"Arkansas <br> Natural Gas: 11.8 Petroleum:  264.5 <br> Ethanol:  11.6 Electricity 0 <br>"
"5","California",27.9,438.1,563.1,1727.1,124.1,19.6,2872,121.7,2.9,2902.8,5.1,2907.8,"CA",2907.8,"California <br> Natural Gas: 27.9 Petroleum:  2872 <br> Ethanol:  121.7 Electricity 2.9 <br>"
"6","Colorado",10.2,80.4,53.5,254.5,0,2.8,391.3,14.8,0.2,401.7,0.5,402.2,"CO",402.2,"Colorado <br> Natural Gas: 10.2 Petroleum:  391.3 <br> Ethanol:  14.8 Electricity 0.2 <br>"
"7","Connecticut",4.5,38.3,10.8,171,0,1.6,221.6,12.1,0.6,226.8,1.2,228,"CT",228,"Connecticut <br> Natural Gas: 4.5 Petroleum:  221.6 <br> Ethanol:  12.1 Electricity 0.6 <br>"
"8","Delaware",1,8.1,0.7,51,0.5,0.6,60.9,3.6,0,62,0,62,"DE",62,"Delaware <br> Natural Gas: 1 Petroleum:  60.9 <br> Ethanol:  3.6 Electricity 0 <br>"
"9","District of Columbia",2.5,2,0,11.5,0,0.2,13.7,0.8,1.1,17.3,2.4,19.8,NA,19.8,"District of Columbia <br> Natural Gas: 2.5 Petroleum:  13.7 <br> Ethanol:  0.8 Electricity 1.1 <br>"
"10","Florida",12.8,225.2,180.2,981.8,57.4,7.7,1452.3,64.5,0.3,1465.4,0.6,1466,"FL",1466,"Florida <br> Natural Gas: 12.8 Petroleum:  1452.3 <br> Ethanol:  64.5 Electricity 0.3 <br>"
"11","Georgia",9.3,181,22.6,576.5,26.9,5.2,812.3,37.9,0.5,822.2,1,823.2,"GA",823.2,"Georgia <br> Natural Gas: 9.3 Petroleum:  812.3 <br> Ethanol:  37.9 Electricity 0.5 <br>"
"12","Hawaii",0,17.7,64.2,53.3,5.5,0.4,141.2,3,0,141.2,0,141.2,"HI",141.2,"Hawaii <br> Natural Gas: 0 Petroleum:  141.2 <br> Ethanol:  3 Electricity 0 <br>"
"13","Idaho",6.2,41.4,4.3,81.6,0,1,128.4,4.8,0,134.6,0,134.6,"ID",134.6,"Idaho <br> Natural Gas: 6.2 Petroleum:  128.4 <br> Ethanol:  4.8 Electricity 0 <br>"
"14","Illinois",27.8,219.2,137.6,548.9,0.1,10.6,916.3,38.7,2,946.1,4.3,950.4,"IL",950.4,"Illinois <br> Natural Gas: 27.8 Petroleum:  916.3 <br> Ethanol:  38.7 Electricity 2 <br>"
"15","Indiana",7.8,205.4,46.7,354,0.6,5.2,611.9,25,0.1,619.8,0.2,620,"IN",620,"Indiana <br> Natural Gas: 7.8 Petroleum:  611.9 <br> Ethanol:  25 Electricity 0.1 <br>"
"16","Iowa",11.8,95.8,6.1,182.6,0,3.4,288,11.9,0,299.7,0,299.7,"IA",299.7,"Iowa <br> Natural Gas: 11.8 Petroleum:  288 <br> Ethanol:  11.9 Electricity 0 <br>"
"17","Kansas",23.9,97.4,10.1,152.4,0,3.5,263.4,8.3,0,287.3,0,287.3,"KS",287.3,"Kansas <br> Natural Gas: 23.9 Petroleum:  263.4 <br> Ethanol:  8.3 Electricity 0 <br>"
"18","Kentucky",7.8,127.3,48.5,253.2,0,3.4,432.4,17.8,0,440.2,0,440.2,"KY",440.2,"Kentucky <br> Natural Gas: 7.8 Petroleum:  432.4 <br> Ethanol:  17.8 Electricity 0 <br>"
"19","Louisiana",41.5,150.7,123.6,269.3,70.8,4.2,618.6,19,0,660.1,0.1,660.2,"LA",660.2,"Louisiana <br> Natural Gas: 41.5 Petroleum:  618.6 <br> Ethanol:  19 Electricity 0 <br>"
"20","Maine",0.9,28.4,6.3,87.5,4.1,0.8,127.1,5.8,0,128,0,128,"ME",128,"Maine <br> Natural Gas: 0.9 Petroleum:  127.1 <br> Ethanol:  5.8 Electricity 0 <br>"
"21","Maryland",7.7,67.8,11.1,335,1.2,2,417.2,23.5,1.8,426.7,4.2,430.9,"MD",430.9,"Maryland <br> Natural Gas: 7.7 Petroleum:  417.2 <br> Ethanol:  23.5 Electricity 1.8 <br>"
"22","Massachusetts",5.5,80.5,35.7,326.7,1.2,2.8,447,23,1.2,453.8,2.4,456.2,"MA",456.2,"Massachusetts <br> Natural Gas: 5.5 Petroleum:  447 <br> Ethanol:  23 Electricity 1.2 <br>"
"23","Michigan",19.8,133.7,22.1,546.7,1.5,9.3,713.2,38.5,0,733.1,0,733.1,"MI",733.1,"Michigan <br> Natural Gas: 19.8 Petroleum:  713.2 <br> Ethanol:  38.5 Electricity 0 <br>"
