,home,away,home_score,away_score,match_date,display_date,match_id,referee_name,stadium_name,stage,description
49,Russia,Saudi Arabia,5,0,2018-06-14,14 June 2018,7525,Néstor Pitana,Stadion Luzhniki,Group Stage,Group Stage : Russia vs Saudi Arabia
52,Croatia,Nigeria,2,0,2018-06-16,16 June 2018,7529,Sandro Meira Ricci,Kaliningrad Stadium ,Group Stage,Group Stage : Croatia vs Nigeria
33,France,Australia,2,1,2018-06-16,16 June 2018,7530,Andrés Cunha,Kazan' Arena,Group Stage,Group Stage : France vs Australia
40,Argentina,Iceland,1,1,2018-06-16,16 June 2018,7531,Szymon Marciniak,Otkrytiye Arena ,Group Stage,Group Stage : Argentina vs Iceland
41,Peru,Denmark,0,1,2018-06-16,16 June 2018,7532,Bakary Papa Gassama,Mordovia Arena ,Group Stage,Group Stage : Peru vs Denmark
45,Brazil,Switzerland,1,1,2018-06-17,17 June 2018,7533,César Ramos,Rostov Arena,Group Stage,Group Stage : Brazil vs Switzerland
47,Germany,Mexico,0,1,2018-06-17,17 June 2018,7534,Alireza Faghani,Stadion Luzhniki,Group Stage,Group Stage : Germany vs Mexico
50,Costa Rica,Serbia,0,1,2018-06-17,17 June 2018,7535,Malang Diedhiou,Samara Arena,Group Stage,Group Stage : Costa Rica vs Serbia
54,Belgium,Panama,3,0,2018-06-18,18 June 2018,7536,Janny Sikazwe,Olimpiyskiy Stadion Fisht,Group Stage,Group Stage : Belgium vs Panama
53,Tunisia,England,1,2,2018-06-18,18 June 2018,7537,Wilmar Roldán Pérez,Volgograd Arena ,Group Stage,Group Stage : Tunisia vs England
42,Sweden,South Korea,1,0,2018-06-18,18 June 2018,7538,Joel Aguilar,Stadion Nizhny Novgorod ,Group Stage,Group Stage : Sweden vs South Korea
46,Poland,Senegal,1,2,2018-06-19,19 June 2018,7539,Nawaf Shukralla,Otkrytiye Arena ,Group Stage,Group Stage : Poland vs Senegal
39,Russia,Egypt,3,1,2018-06-19,19 June 2018,7540,Enrique Cáceres,Saint Petersburg,Group Stage,Group Stage : Russia vs Egypt
38,Colombia,Japan,1,2,2018-06-19,19 June 2018,7541,Damir Skomina,Mordovia Arena ,Group Stage,Group Stage : Colombia vs Japan
43,Portugal,Morocco,1,0,2018-06-20,20 June 2018,7542,Mark Geiger,Stadion Luzhniki,Group Stage,Group Stage : Portugal vs Morocco
48,Iran,Spain,0,1,2018-06-20,20 June 2018,7543,Andrés Cunha,Kazan' Arena,Group Stage,Group Stage : Iran vs Spain
44,Uruguay,Saudi Arabia,1,0,2018-06-20,20 June 2018,7544,C. Turpin,Rostov Arena,Group Stage,Group Stage : Uruguay vs Saudi Arabia
8,Argentina,Croatia,0,3,2018-06-21,21 June 2018,7545,Ravshan Irmatov,Stadion Nizhny Novgorod ,Group Stage,Group Stage : Argentina vs Croatia
51,France,Peru,1,0,2018-06-21,21 June 2018,7546,Mohamed Abdulla Hassan,Ekaterinburg Arena ,Group Stage,Group Stage : France vs Peru
9,Denmark,Australia,1,1,2018-06-21,21 June 2018,7547,Antonio Mateu,Samara Arena,Group Stage,Group Stage : Denmark vs Australia
34,Brazil,Costa Rica,2,0,2018-06-22,22 June 2018,7548,Björn Kuipers,Saint-Petersburg Stadium,Group Stage,Group Stage : Brazil vs Costa Rica
23,Nigeria,Iceland,2,0,2018-06-22,22 June 2018,7549,Matthew Conger,Volgograd Arena ,Group Stage,Group Stage : Nigeria vs Iceland
35,Serbia,Switzerland,1,2,2018-06-22,22 June 2018,7550,Felix Brych,Kaliningrad Stadium ,Group Stage,Group Stage : Serbia vs Switzerland
24,Germany,Sweden,2,1,2018-06-23,23 June 2018,7551,Szymon Marciniak,Olimpiyskiy Stadion Fisht,Group Stage,Group Stage : Germany vs Sweden
26,Belgium,Tunisia,5,2,2018-06-23,23 June 2018,7552,Jair Marrufo,Otkrytiye Arena ,Group Stage,Group Stage : Belgium vs Tunisia
25,South Korea,Mexico,1,2,2018-06-23,23 June 2018,7553,Milorad Mažić,Rostov Arena,Group Stage,Group Stage : South Korea vs Mexico
27,England,Panama,6,1,2018-06-24,24 June 2018,7554,GHEAD GRISHA,Stadion Nizhny Novgorod ,Group Stage,Group Stage : England vs Panama
28,Poland,Colombia,0,3,2018-06-24,24 June 2018,7555,César Ramos,Kazan' Arena,Group Stage,Group Stage : Poland vs Colombia
19,Japan,Senegal,2,2,2018-06-24,24 June 2018,7556,Gianluca Rocchi,Ekaterinburg Arena ,Group Stage,Group Stage : Japan vs Senegal
21,Iran,Portugal,1,1,2018-06-25,25 June 2018,7557,Enrique Cáceres,Mordovia Arena ,Group Stage,Group Stage : Iran vs Portugal
20,Uruguay,Russia,3,0,2018-06-25,25 June 2018,7558,Malang Diedhiou,Samara Arena,Group Stage,Group Stage : Uruguay vs Russia
18,Saudi Arabia,Egypt,2,1,2018-06-25,25 June 2018,7559,,,Group Stage,Group Stage : Saudi Arabia vs Egypt
22,Spain,Morocco,2,2,2018-06-25,25 June 2018,7560,Ravshan Irmatov,Kaliningrad Stadium ,Group Stage,Group Stage : Spain vs Morocco
13,Iceland,Croatia,1,2,2018-06-26,26 June 2018,7561,Antonio Mateu,Rostov Arena,Group Stage,Group Stage : Iceland vs Croatia
11,Australia,Peru,0,2,2018-06-26,26 June 2018,7562,Sergey Karasev,Olimpiyskiy Stadion Fisht,Group Stage,Group Stage : Australia vs Peru
12,Denmark,France,0,0,2018-06-26,26 June 2018,7563,Sandro Meira Ricci,Stadion Luzhniki,Group Stage,Group Stage : Denmark vs France
10,Nigeria,Argentina,1,2,2018-06-26,26 June 2018,7564,Cüneyt Çakιr,Saint Petersburg,Group Stage,Group Stage : Nigeria vs Argentina
15,Serbia,Brazil,0,2,2018-06-27,27 June 2018,7565,Alireza Faghani,Otkrytiye Arena ,Group Stage,Group Stage : Serbia vs Brazil
16,Mexico,Sweden,0,3,2018-06-27,27 June 2018,7566,Néstor Pitana,Ekaterinburg Arena ,Group Stage,Group Stage : Mexico vs Sweden
14,South Korea,Germany,2,0,2018-06-27,27 June 2018,7567,Mark Geiger,Kazan' Arena,Group Stage,Group Stage : South Korea vs Germany
17,Switzerland,Costa Rica,2,2,2018-06-27,27 June 2018,7568,C. Turpin,Stadion Nizhny Novgorod ,Group Stage,Group Stage : Switzerland vs Costa Rica
29,Panama,Tunisia,1,2,2018-06-28,28 June 2018,7569,Nawaf Shukralla,Mordovia Arena ,Group Stage,Group Stage : Panama vs Tunisia
32,England,Belgium,0,1,2018-06-28,28 June 2018,7570,Damir Skomina,Kaliningrad Stadium ,Group Stage,Group Stage : England vs Belgium
31,Senegal,Colombia,0,1,2018-06-28,28 June 2018,7571,Milorad Mažić,Samara Arena,Group Stage,Group Stage : Senegal vs Colombia
