,name,id,team,period,minute,seconds,location,xg,end_location,outcome,body_part,technique,possession,shot_id,match_id,dec_time,cum_xg,hover_text,team_type,shot_color
0,Yasir Gharsan Al Shahrani,5183.0,Saudi Arabia,1,5,26,"[103.0, 21.0]",0.009041922,"[106.0, 24.0]",Blocked,Right Foot,Normal,15,796c0b3a-8056-4bc7-8b50-e1f3a68c39b2,7525,5.433333333333334,0.009041922,Yasir Gharsan Al Shahrani (Saudi Arabia)<br>Time: 5:26<br>xG: 0.009<br>Cum. xG: 0.009<br>Outcome: Blocked<br>Body Part: Right Foot,away,"rgba(90,90,230, 1)"
1,Aleksandr Samedov,5182.0,Russia,1,6,46,"[111.0, 52.0]",0.097872995,"[113.0, 50.0]",Blocked,Right Foot,Normal,19,0fc0b851-1c4a-4523-b9a4-8bce75509836,7525,6.766666666666667,0.097872995,Aleksandr Samedov (Russia)<br>Time: 6:46<br>xG: 0.098<br>Cum. xG: 0.098<br>Outcome: Blocked<br>Body Part: Right Foot,home,"rgba(230,90,90, 1)"
2,Yuri Zhirkov,5193.0,Russia,1,8,45,"[107.0, 26.0]",0.04187415,"[108.0, 25.0]",Blocked,Left Foot,Normal,26,ad14233a-4107-4e8d-a463-892fba1edbd7,7525,8.75,0.13974714500000002,Yuri Zhirkov (Russia)<br>Time: 8:45<br>xG: 0.042<br>Cum. xG: 0.140<br>Outcome: Blocked<br>Body Part: Left Foot,home,"rgba(230,90,90, 1)"
3,Alan Dzagoev,5180.0,Russia,1,10,49,"[106.0, 49.0]",0.06656257,"[107.0, 49.0]",Blocked,Right Foot,Normal,30,7ced3e13-a481-464c-8b40-6f162e40d4b3,7525,10.816666666666666,0.206309715,Alan Dzagoev (Russia)<br>Time: 10:49<br>xG: 0.067<br>Cum. xG: 0.206<br>Outcome: Blocked<br>Body Part: Right Foot,home,"rgba(230,90,90, 1)"
4,Yury Gazinskiy,5181.0,Russia,1,11,32,"[112.0, 47.0]",0.23040678,"[120.0, 36.7, 1.6]",Goal,Head,Normal,31,0f0db7e9-7254-48bb-a983-6674be1a3495,7525,11.533333333333333,0.436716495,Yury Gazinskiy (Russia)<br>Time: 11:32<br>xG: 0.230<br>Cum. xG: 0.437<br>Outcome: Goal<br>Body Part: Head,home,black
5,Mohammad Ibrahim Al Sahlawi,5196.0,Saudi Arabia,1,21,5,"[103.0, 29.0]",0.056222930000000004,"[106.0, 26.0]",Blocked,Left Foot,Normal,46,62192ff3-dd17-4f83-81c3-d71bc2348845,7525,21.083333333333332,0.06526485200000001,Mohammad Ibrahim Al Sahlawi (Saudi Arabia)<br>Time: 21:5<br>xG: 0.056<br>Cum. xG: 0.065<br>Outcome: Blocked<br>Body Part: Left Foot,away,"rgba(90,90,230, 1)"
6,Salem Mohammed Al Dawsari,5187.0,Saudi Arabia,1,27,27,"[92.0, 39.0]",0.03195372,"[120.0, 41.5, 4.7]",Off T,Right Foot,Normal,59,a17badf6-58af-4922-a504-3e79c5fdcba3,7525,27.45,0.097218572,Salem Mohammed Al Dawsari (Saudi Arabia)<br>Time: 27:27<br>xG: 0.032<br>Cum. xG: 0.097<br>Outcome: Off T<br>Body Part: Right Foot,away,"rgba(90,90,230, 1)"
7,Yasir Gharsan Al Shahrani,5183.0,Saudi Arabia,1,30,18,"[110.0, 42.0]",0.06447477,"[119.0, 39.8, 4.4]",Off T,Head,Normal,65,c18e832e-f88d-4edd-8448-2e2cadb68ba4,7525,30.3,0.16169334200000002,Yasir Gharsan Al Shahrani (Saudi Arabia)<br>Time: 30:18<br>xG: 0.064<br>Cum. xG: 0.162<br>Outcome: Off T<br>Body Part: Head,away,"rgba(90,90,230, 1)"
8,Denis Cheryshev,5186.0,Russia,1,42,11,"[110.0, 34.0]",0.30086192,"[120.0, 36.7, 1.7000000000000002]",Goal,Left Foot,Normal,90,40a3a1e3-bdfe-4c77-a0c7-db909fc83c8e,7525,42.18333333333333,0.737578415,Denis Cheryshev (Russia)<br>Time: 42:11<br>xG: 0.301<br>Cum. xG: 0.738<br>Outcome: Goal<br>Body Part: Left Foot,home,black
9,Aleksandr Samedov,5182.0,Russia,2,51,7,"[97.0, 50.0]",0.023913153000000003,"[120.0, 38.0, 3.9]",Off T,Right Foot,Normal,113,e97cbf23-0bc3-4c43-bb03-6e85bac40bf1,7525,51.11666666666667,0.761491568,Aleksandr Samedov (Russia)<br>Time: 51:7<br>xG: 0.024<br>Cum. xG: 0.761<br>Outcome: Off T<br>Body Part: Right Foot,home,"rgba(230,90,90, 1)"
10,Denis Cheryshev,5186.0,Russia,2,62,0,"[108.0, 24.0]",0.092584014,"[110.0, 24.0]",Blocked,Left Foot,Normal,137,59763ac9-036e-467e-af76-f07603603edc,7525,62.0,0.854075582,Denis Cheryshev (Russia)<br>Time: 62:0<br>xG: 0.093<br>Cum. xG: 0.854<br>Outcome: Blocked<br>Body Part: Left Foot,home,"rgba(230,90,90, 1)"
11,Denis Cheryshev,5186.0,Russia,2,64,16,"[107.0, 39.0]",0.07526767,"[119.0, 40.4, 2.1]",Saved,Head,Normal,141,642a859c-203a-4a09-9b16-6fe8ac6a511c,7525,64.26666666666667,0.929343252,Denis Cheryshev (Russia)<br>Time: 64:16<br>xG: 0.075<br>Cum. xG: 0.929<br>Outcome: Saved<br>Body Part: Head,home,"rgba(230,90,90, 1)"
12,Roman Zobnin,5171.0,Russia,2,67,15,"[104.0, 56.0]",0.024110084,"[116.0, 40.5, 0.6000000000000001]",Saved,Right Foot,Normal,147,dbe034e7-3332-4b5d-8ed2-89c8e6e763a6,7525,67.25,0.953453336,Roman Zobnin (Russia)<br>Time: 67:15<br>xG: 0.024<br>Cum. xG: 0.953<br>Outcome: Saved<br>Body Part: Right Foot,home,"rgba(230,90,90, 1)"
13,Artem Dzyuba,5195.0,Russia,2,70,50,"[115.0, 37.0]",0.45710522000000003,"[120.0, 42.7, 0.6000000000000001]",Goal,Head,Normal,157,ad0b417b-31b9-4be7-9e33-96bfd50eb91a,7525,70.83333333333333,1.410558556,Artem Dzyuba (Russia)<br>Time: 70:50<br>xG: 0.457<br>Cum. xG: 1.411<br>Outcome: Goal<br>Body Part: Head,home,black
14,Salem Mohammed Al Dawsari,5187.0,Saudi Arabia,2,72,44,"[97.0, 25.0]",0.004468359,"[119.0, 46.0, 1.6]",Off T,Right Foot,Normal,158,7572191e-5d1d-421c-b69e-3fcec3abe5df,7525,72.73333333333333,0.16616170100000002,Salem Mohammed Al Dawsari (Saudi Arabia)<br>Time: 72:44<br>xG: 0.004<br>Cum. xG: 0.166<br>Outcome: Off T<br>Body Part: Right Foot,away,"rgba(90,90,230, 1)"
15,Roman Zobnin,5171.0,Russia,2,76,25,"[110.0, 42.0]",0.03685525,"[120.0, 46.0, 2.8]",Off T,Head,Normal,165,02d7a538-587e-41f0-8995-5c7c1a36cc02,7525,76.41666666666667,1.447413806,Roman Zobnin (Russia)<br>Time: 76:25<br>xG: 0.037<br>Cum. xG: 1.447<br>Outcome: Off T<br>Body Part: Head,home,"rgba(230,90,90, 1)"
16,Hattan Babhir,5188.0,Saudi Arabia,2,81,31,"[104.0, 57.0]",0.042745132000000005,"[113.0, 48.0]",Blocked,Left Foot,Normal,172,9a37ef26-6792-49d9-9aab-e2ccdafa5cb1,7525,81.51666666666667,0.20890683300000001,Hattan Babhir (Saudi Arabia)<br>Time: 81:31<br>xG: 0.043<br>Cum. xG: 0.209<br>Outcome: Blocked<br>Body Part: Left Foot,away,"rgba(90,90,230, 1)"
17,Daler Kuzyaev,5179.0,Russia,2,83,35,"[86.0, 38.0]",0.004650485,"[120.0, 39.1, 4.2]",Off T,Right Foot,Normal,176,58e73d91-3c24-4ca9-a2a7-e265ef81030b,7525,83.58333333333333,1.452064291,Daler Kuzyaev (Russia)<br>Time: 83:35<br>xG: 0.005<br>Cum. xG: 1.452<br>Outcome: Off T<br>Body Part: Right Foot,home,"rgba(230,90,90, 1)"
18,Denis Cheryshev,5186.0,Russia,2,90,46,"[104.0, 23.0]",0.011546669,"[120.0, 43.6, 2.2]",Goal,Left Foot,Normal,187,5ce61d22-5568-4e6d-ae51-3589579319c6,7525,90.76666666666667,1.4636109599999998,Denis Cheryshev (Russia)<br>Time: 90:46<br>xG: 0.012<br>Cum. xG: 1.464<br>Outcome: Goal<br>Body Part: Left Foot,home,black
19,Aleksandr Golovin,5177.0,Russia,2,93,57,"[99.0, 52.0]",0.09193663,"[120.0, 43.6, 0.8]",Goal,Right Foot,Normal,191,aac28d5f-5b74-4add-9dc5-ae9a8b2502d1,7525,93.95,1.5555475899999998,Aleksandr Golovin (Russia)<br>Time: 93:57<br>xG: 0.092<br>Cum. xG: 1.556<br>Outcome: Goal<br>Body Part: Right Foot,home,black
20,Alex Iwobi,3647.0,Nigeria,1,12,36,"[89.0, 40.0]",0.01934234,"[101.0, 37.0]",Blocked,Right Foot,Normal,30,03bc0860-081d-42ef-ba98-55f303746b14,7529,12.6,0.01934234,Alex Iwobi (Nigeria)<br>Time: 12:36<br>xG: 0.019<br>Cum. xG: 0.019<br>Outcome: Blocked<br>Body Part: Right Foot,away,"rgba(90,90,230, 1)"
21,Ivan Perišić,5474.0,Croatia,1,13,20,"[99.0, 46.0]",0.06226836,"[120.0, 37.3, 3.4]",Off T,Right Foot,Normal,31,60e07ca2-abf0-4de6-9f1a-c8aa120803e3,7529,13.333333333333334,0.06226836,Ivan Perišić (Croatia)<br>Time: 13:20<br>xG: 0.062<br>Cum. xG: 0.062<br>Outcome: Off T<br>Body Part: Right Foot,home,"rgba(230,90,90, 1)"
22,Andrej Kramarić,5460.0,Croatia,1,15,22,"[86.0, 35.0]",0.0027983177,"[120.0, 35.1, 0.4]",Off T,Right Foot,Normal,35,f40ec0a1-a6b6-4340-b7bd-b0a1c499ae6d,7529,15.366666666666667,0.0650666777,Andrej Kramarić (Croatia)<br>Time: 15:22<br>xG: 0.003<br>Cum. xG: 0.065<br>Outcome: Off T<br>Body Part: Right Foot,home,"rgba(230,90,90, 1)"
23,Odion Jude Ighalo,5458.0,Nigeria,1,20,58,"[109.0, 59.0]",0.011425976000000001,"[115.0, 50.0]",Blocked,Right Foot,Normal,41,d48ee1dc-282a-4329-aca1-7e759d9b90fc,7529,20.966666666666665,0.030768316,Odion Jude Ighalo (Nigeria)<br>Time: 20:58<br>xG: 0.011<br>Cum. xG: 0.031<br>Outcome: Blocked<br>Body Part: Right Foot,away,"rgba(90,90,230, 1)"
24,Oghenekaro Etebo,5466.0,Nigeria,1,21,40,"[93.0, 41.0]",0.026559109,"[120.0, 46.4, 0.2]",Off T,Right Foot,Half Volley,42,c384aaa0-76be-4302-88dd-d32b52355b44,7529,21.666666666666668,0.057327425,Oghenekaro Etebo (Nigeria)<br>Time: 21:40<br>xG: 0.027<br>Cum. xG: 0.057<br>Outcome: Off T<br>Body Part: Right Foot,away,"rgba(90,90,230, 1)"
25,Ante Rebić,5465.0,Croatia,1,31,17,"[101.0, 23.0]",0.032552578,"[105.0, 29.0]",Blocked,Right Foot,Normal,61,861552d0-0f6c-46da-ab79-747a472e159e,7529,31.283333333333335,0.0976192557,Ante Rebić (Croatia)<br>Time: 31:17<br>xG: 0.033<br>Cum. xG: 0.098<br>Outcome: Blocked<br>Body Part: Right Foot,home,"rgba(230,90,90, 1)"
26,Mario Mandžukić,5472.0,Croatia,1,31,51,"[113.0, 41.0]",0.20043483,"[116.0, 38.0]",Blocked,Head,Diving Header,62,54aabd87-5660-42fb-a583-c9f0b7d0d4ba,7529,31.85,0.2980540857,Mario Mandžukić (Croatia)<br>Time: 31:51<br>xG: 0.200<br>Cum. xG: 0.298<br>Outcome: Blocked<br>Body Part: Head,home,"rgba(230,90,90, 1)"
1642,Oghenekaro Etebo,5466.0,Croatia,1,31,52,"[115.0, 36.0]",0.0,"[120, 40]",Goal,Unknown,Unknown,62,,7529,31.866666666666667,0.2980540857,Oghenekaro Etebo (Croatia)<br>Time: 31:52<br>xG: 0.000<br>Cum. xG: 0.298<br>Outcome: Goal<br>Body Part: Unknown,home,black
27,Odion Jude Ighalo,5458.0,Nigeria,1,33,14,"[106.0, 33.0]",0.10007185,"[108.0, 31.0]",Blocked,Left Foot,Normal,63,01cdc385-ca6a-469a-b6a6-90c86cd5befe,7529,33.233333333333334,0.157399275,Odion Jude Ighalo (Nigeria)<br>Time: 33:14<br>xG: 0.100<br>Cum. xG: 0.157<br>Outcome: Blocked<br>Body Part: Left Foot,away,"rgba(90,90,230, 1)"
28,Andrej Kramarić,5460.0,Croatia,1,38,53,"[107.0, 37.0]",0.05312193,"[120.0, 38.5, 3.0]",Off T,Head,Normal,72,5e03c300-a11d-4664-bd24-88d58f8a29a2,7529,38.88333333333333,0.3511760157,Andrej Kramarić (Croatia)<br>Time: 38:53<br>xG: 0.053<br>Cum. xG: 0.351<br>Outcome: Off T<br>Body Part: Head,home,"rgba(230,90,90, 1)"
29,Šime Vrsaljko,5461.0,Croatia,1,41,56,"[104.0, 59.0]",0.038644552000000006,"[120.0, 45.3, 3.6]",Off T,Right Foot,Normal,72,17db0f04-9df6-4b57-ae77-fe17bfc676f6,7529,41.93333333333333,0.3898205677,Šime Vrsaljko (Croatia)<br>Time: 41:56<br>xG: 0.039<br>Cum. xG: 0.390<br>Outcome: Off T<br>Body Part: Right Foot,home,"rgba(230,90,90, 1)"
30,Alex Iwobi,3647.0,Nigeria,1,45,3,"[104.0, 31.0]",0.035640795,"[112.0, 37.0]",Blocked,Right Foot,Half Volley,77,96d3fc96-0d44-4482-9607-00635c0795ee,7529,45.05,0.19304007,Alex Iwobi (Nigeria)<br>Time: 45:3<br>xG: 0.036<br>Cum. xG: 0.193<br>Outcome: Blocked<br>Body Part: Right Foot,away,"rgba(90,90,230, 1)"
31,Victor Moses,3963.0,Nigeria,1,45,44,"[91.0, 47.0]",0.031839304,"[120.0, 46.2, 5.8]",Off T,Right Foot,Normal,79,d3fcd1fa-3653-4a1e-b5f6-2a3caf7ee6e6,7529,45.733333333333334,0.22487937400000002,Victor Moses (Nigeria)<br>Time: 45:44<br>xG: 0.032<br>Cum. xG: 0.225<br>Outcome: Off T<br>Body Part: Right Foot,away,"rgba(90,90,230, 1)"
